datetime,CL,GC,HG,HO,NG,PL
2025-07-06 23:01,1.50,0.72,0.01,,0.17,0.77
2025-07-06 23:02,1.50,0.85,0.01,,0.17,0.94
2025-07-06 23:03,1.54,2.78,0.03,,0.19,0.94
2025-07-06 23:04,1.54,2.78,0.03,,0.19,1.64
2025-07-06 23:05,1.54,2.78,0.02,,0.22,2.72
2025-07-06 23:06,1.54,2.78,0.02,,0.32,2.72
2025-07-06 23:07,1.54,2.78,0.02,,0.32,2.72
2025-07-06 23:08,1.54,2.78,0.02,,0.32,2.72
2025-07-06 23:09,1.54,2.78,0.02,,0.32,2.72
2025-07-06 23:10,1.54,2.78,0.03,,0.32,2.72
2025-07-06 23:11,1.54,2.78,0.03,,0.32,
2025-07-06 23:12,1.54,2.78,0.03,,0.32,2.72
2025-07-06 23:13,1.74,2.78,0.03,,0.32,2.72
2025-07-06 23:14,1.74,2.78,0.03,,0.32,2.72
2025-07-06 23:15,1.74,2.78,0.04,,0.32,2.72
2025-07-06 23:16,1.74,2.78,0.03,0.00,0.32,2.72
2025-07-06 23:17,1.74,2.78,0.03,0.00,0.32,2.72
2025-07-06 23:18,1.74,2.78,0.03,,0.32,2.72
2025-07-06 23:19,1.74,2.78,0.04,,0.32,2.72
2025-07-06 23:20,1.74,2.78,0.04,,0.32,2.72
2025-07-06 23:21,1.74,2.78,0.04,,0.32,2.72
2025-07-06 23:22,1.74,2.78,0.07,,0.32,2.72
2025-07-06 23:23,1.74,2.78,0.07,,0.32,2.72
2025-07-06 23:24,1.74,2.78,0.07,0.00,0.32,2.72
2025-07-06 23:25,1.74,2.78,0.08,,0.32,2.72
2025-07-06 23:26,1.74,2.78,0.08,,0.32,2.72
2025-07-06 23:27,1.74,2.78,0.12,,0.32,2.72
2025-07-06 23:28,1.74,2.78,0.10,0.00,0.32,2.72
2025-07-06 23:29,1.74,2.78,0.10,0.00,0.32,
2025-07-06 23:30,1.74,2.78,0.10,,0.32,2.72
2025-07-06 23:31,1.74,2.78,0.10,,0.32,2.72
2025-07-06 23:32,1.74,2.78,0.09,,0.32,2.72
2025-07-06 23:33,,2.78,0.09,,0.32,2.72
2025-07-06 23:34,1.74,2.78,0.07,,0.32,2.72
2025-07-06 23:35,1.74,2.78,0.06,,0.32,2.72
2025-07-06 23:36,1.74,2.78,0.06,,0.32,2.76
2025-07-06 23:37,1.74,2.78,,,0.32,2.76
2025-07-06 23:38,1.74,2.78,,0.01,,2.76
2025-07-06 23:39,1.74,2.78,0.06,,0.32,2.76
2025-07-06 23:40,1.74,2.78,0.06,,0.32,
2025-07-06 23:41,1.74,2.78,0.07,,0.32,2.76
2025-07-06 23:42,1.74,2.78,0.06,,0.32,2.76
2025-07-06 23:43,1.74,2.78,,0.01,0.32,2.76
2025-07-06 23:44,1.74,2.78,,,,2.76
2025-07-06 23:45,1.74,2.78,0.07,,,2.76
2025-07-06 23:46,,2.78,,,0.32,2.76
2025-07-06 23:47,1.74,2.78,0.07,,0.32,2.76
2025-07-06 23:48,1.74,2.78,0.07,,0.32,2.76
2025-07-06 23:49,1.74,2.78,,,0.32,2.76
2025-07-06 23:50,1.74,2.78,0.07,,0.32,2.76
2025-07-06 23:51,2.22,2.78,0.07,0.01,,2.76
2025-07-06 23:52,2.22,2.78,0.08,,0.32,2.76
2025-07-06 23:53,2.22,2.98,0.08,,0.32,2.76
2025-07-06 23:54,2.22,2.98,,,0.32,2.76
2025-07-06 23:55,2.22,2.98,0.07,0.01,0.32,2.76
2025-07-06 23:56,2.22,2.98,0.08,,0.32,2.76
2025-07-06 23:57,2.35,2.98,,0.01,0.32,
2025-07-06 23:58,2.35,2.98,,,0.32,2.76
2025-07-06 23:59,,2.98,,,0.32,2.76
