datetime, rank
29/06/2025 23:01:00,2.70
29/06/2025 23:02:00,2.41
29/06/2025 23:03:00,1.81
29/06/2025 23:04:00,2.18
29/06/2025 23:05:00,3.54
29/06/2025 23:06:00,2.57
29/06/2025 23:07:00,2.38
29/06/2025 23:08:00,2.50
29/06/2025 23:09:00,2.44
29/06/2025 23:10:00,3.39
29/06/2025 23:11:00,4.57
29/06/2025 23:12:00,7.56
29/06/2025 23:13:00,8.27
29/06/2025 23:14:00,9.51
29/06/2025 23:15:00,9.51
29/06/2025 23:16:00,19.01
29/06/2025 23:17:00,17.76
29/06/2025 23:18:00,15.88
29/06/2025 23:19:00,14.13
29/06/2025 23:20:00,17.28
29/06/2025 23:21:00,21.41
29/06/2025 23:22:00,22.53
29/06/2025 23:23:00,43.56
29/06/2025 23:24:00,38.44
29/06/2025 23:25:00,35.26
29/06/2025 23:26:00,42.24
29/06/2025 23:27:00,54.61
29/06/2025 23:28:00,140.13
29/06/2025 23:29:00,131.59
29/06/2025 23:30:00,94.81
29/06/2025 23:31:00,74.13
29/06/2025 23:32:00,53.07
29/06/2025 23:33:00,43.56
29/06/2025 23:34:00,40.95
29/06/2025 23:35:00,37.63
29/06/2025 23:36:00,30.83
29/06/2025 23:37:00,30.83
29/06/2025 23:38:00,26.78
29/06/2025 23:39:00,25.52
29/06/2025 23:40:00,20.59
29/06/2025 23:41:00,21.41
29/06/2025 23:42:00,23.11
29/06/2025 23:43:00,20.32
29/06/2025 23:44:00,23.99
29/06/2025 23:45:00,28.09
29/06/2025 23:46:00,26.46
29/06/2025 23:47:00,26.15
29/06/2025 23:48:00,24.90
29/06/2025 23:49:00,27.76
29/06/2025 23:50:00,29.44
29/06/2025 23:51:00,28.09
29/06/2025 23:52:00,24.60
29/06/2025 23:53:00,23.99
29/06/2025 23:54:00,26.15
29/06/2025 23:55:00,23.40
29/06/2025 23:56:00,21.96
29/06/2025 23:57:00,22.25
29/06/2025 23:58:00,24.60
29/06/2025 23:59:00,26.46
