datetime, rank
30/06/2025 00:07:00,0.00
30/06/2025 00:42:00,0.06
30/06/2025 00:47:00,0.05
30/06/2025 00:48:00,0.05
30/06/2025 00:52:00,0.07
30/06/2025 00:59:00,0.11
30/06/2025 01:01:00,0.07
30/06/2025 01:06:00,0.07
30/06/2025 01:08:00,0.15
30/06/2025 01:09:00,0.11
30/06/2025 01:10:00,0.10
30/06/2025 01:11:00,0.08
30/06/2025 01:12:00,0.16
30/06/2025 01:17:00,0.12
30/06/2025 01:19:00,0.11
30/06/2025 01:22:00,0.13
30/06/2025 01:24:00,0.14
30/06/2025 01:27:00,0.19
30/06/2025 01:32:00,0.23
30/06/2025 01:34:00,0.28
30/06/2025 01:35:00,0.25
30/06/2025 01:36:00,0.28
30/06/2025 01:38:00,0.27
30/06/2025 01:42:00,0.25
30/06/2025 01:44:00,0.21
30/06/2025 01:46:00,0.17
30/06/2025 01:47:00,0.19
30/06/2025 01:54:00,0.17
30/06/2025 01:56:00,0.17
30/06/2025 01:59:00,0.18
30/06/2025 02:00:00,0.17
30/06/2025 02:01:00,0.16
30/06/2025 02:02:00,0.17
30/06/2025 02:06:00,0.14
30/06/2025 02:14:00,0.14
30/06/2025 02:15:00,0.15
30/06/2025 02:17:00,0.13
30/06/2025 02:26:00,0.13
30/06/2025 02:27:00,0.13
30/06/2025 02:30:00,0.17
30/06/2025 02:40:00,0.17
30/06/2025 02:42:00,0.18
30/06/2025 02:44:00,0.15
30/06/2025 02:47:00,0.14
30/06/2025 02:48:00,0.15
30/06/2025 02:50:00,0.14
30/06/2025 02:51:00,0.18
30/06/2025 03:01:00,0.18
30/06/2025 03:03:00,0.25
30/06/2025 03:04:00,0.30
30/06/2025 03:05:00,0.41
30/06/2025 03:06:00,0.37
30/06/2025 03:07:00,0.30
30/06/2025 03:08:00,0.33
30/06/2025 03:09:00,0.37
30/06/2025 03:11:00,0.33
30/06/2025 03:13:00,0.34
30/06/2025 03:15:00,0.35
30/06/2025 03:16:00,0.35
30/06/2025 03:19:00,0.30
30/06/2025 03:21:00,0.37
30/06/2025 03:27:00,0.38
30/06/2025 03:31:00,0.39
30/06/2025 03:32:00,0.47
30/06/2025 03:37:00,0.48
30/06/2025 03:39:00,0.42
