datetime, rank
29/06/2025 23:01:00,0.01
29/06/2025 23:02:00,0.02
29/06/2025 23:03:00,0.15
29/06/2025 23:04:00,0.20
29/06/2025 23:05:00,0.23
29/06/2025 23:06:00,0.25
29/06/2025 23:07:00,0.26
29/06/2025 23:08:00,0.29
29/06/2025 23:09:00,0.31
29/06/2025 23:10:00,0.34
29/06/2025 23:11:00,0.41
29/06/2025 23:12:00,0.45
29/06/2025 23:13:00,0.48
29/06/2025 23:14:00,0.63
29/06/2025 23:15:00,0.68
29/06/2025 23:16:00,0.69
29/06/2025 23:17:00,0.72
29/06/2025 23:18:00,0.75
29/06/2025 23:19:00,0.75
29/06/2025 23:20:00,0.76
29/06/2025 23:21:00,0.77
29/06/2025 23:22:00,0.78
29/06/2025 23:23:00,0.79
29/06/2025 23:24:00,0.80
29/06/2025 23:25:00,0.92
29/06/2025 23:26:00,1.27
29/06/2025 23:27:00,1.49
29/06/2025 23:28:00,2.20
29/06/2025 23:29:00,2.30
29/06/2025 23:30:00,2.38
29/06/2025 23:31:00,2.48
29/06/2025 23:32:00,2.48
29/06/2025 23:33:00,2.55
29/06/2025 23:34:00,2.57
29/06/2025 23:35:00,2.61
29/06/2025 23:36:00,2.72
29/06/2025 23:37:00,2.73
29/06/2025 23:38:00,2.76
29/06/2025 23:39:00,2.86
29/06/2025 23:40:00,2.90
29/06/2025 23:41:00,2.92
29/06/2025 23:42:00,2.97
29/06/2025 23:43:00,3.01
29/06/2025 23:44:00,3.03
29/06/2025 23:45:00,3.04
29/06/2025 23:46:00,3.03
29/06/2025 23:47:00,3.10
29/06/2025 23:48:00,3.12
29/06/2025 23:49:00,3.13
29/06/2025 23:50:00,3.15
29/06/2025 23:51:00,3.20
29/06/2025 23:52:00,3.22
29/06/2025 23:53:00,3.30
29/06/2025 23:54:00,3.36
29/06/2025 23:55:00,3.38
29/06/2025 23:56:00,3.39
29/06/2025 23:57:00,3.41
29/06/2025 23:58:00,3.43
29/06/2025 23:59:00,3.43
