datetime, rank
22/06/2025 23:02:00,11.76
22/06/2025 23:03:00,6.43
22/06/2025 23:04:00,4.96
22/06/2025 23:05:00,5.89
22/06/2025 23:06:00,3.89
22/06/2025 23:07:00,4.42
22/06/2025 23:08:00,5.13
22/06/2025 23:09:00,5.69
22/06/2025 23:10:00,5.50
22/06/2025 23:11:00,8.27
22/06/2025 23:12:00,9.19
22/06/2025 23:13:00,12.91
22/06/2025 23:14:00,8.13
22/06/2025 23:15:00,10.16
22/06/2025 23:16:00,6.00
22/06/2025 23:17:00,7.56
22/06/2025 23:18:00,7.03
22/06/2025 23:19:00,6.21
22/06/2025 23:20:00,6.67
22/06/2025 23:21:00,4.64
22/06/2025 23:22:00,4.42
22/06/2025 23:23:00,4.01
22/06/2025 23:24:00,3.39
22/06/2025 23:25:00,3.95
22/06/2025 23:26:00,6.10
22/06/2025 23:27:00,8.13
22/06/2025 23:28:00,9.19
22/06/2025 23:29:00,9.19
22/06/2025 23:30:00,12.13
22/06/2025 23:31:00,21.41
22/06/2025 23:32:00,11.76
22/06/2025 23:33:00,11.94
22/06/2025 23:34:00,12.52
22/06/2025 23:35:00,12.91
22/06/2025 23:36:00,14.13
22/06/2025 23:37:00,14.77
22/06/2025 23:38:00,12.71
22/06/2025 23:39:00,12.52
22/06/2025 23:40:00,11.94
22/06/2025 23:41:00,10.68
22/06/2025 23:42:00,7.98
22/06/2025 23:43:00,7.56
22/06/2025 23:44:00,8.72
22/06/2025 23:45:00,7.16
22/06/2025 23:46:00,7.84
22/06/2025 23:47:00,8.13
22/06/2025 23:48:00,6.55
22/06/2025 23:49:00,5.59
22/06/2025 23:50:00,6.43
22/06/2025 23:51:00,7.16
22/06/2025 23:52:00,7.70
22/06/2025 23:53:00,7.16
22/06/2025 23:54:00,6.55
22/06/2025 23:55:00,4.64
22/06/2025 23:56:00,4.28
22/06/2025 23:57:00,6.00
22/06/2025 23:58:00,6.55
22/06/2025 23:59:00,7.16
