datetime, rank
19/06/2025 23:02:00,0.00
19/06/2025 23:04:00,0.70
19/06/2025 23:05:00,0.70
19/06/2025 23:06:00,0.70
19/06/2025 23:07:00,0.70
19/06/2025 23:08:00,0.70
19/06/2025 23:09:00,0.72
19/06/2025 23:12:00,0.79
19/06/2025 23:13:00,1.14
19/06/2025 23:15:00,1.28
19/06/2025 23:16:00,1.28
19/06/2025 23:17:00,1.31
19/06/2025 23:18:00,1.42
19/06/2025 23:20:00,1.42
19/06/2025 23:21:00,1.42
19/06/2025 23:22:00,1.42
19/06/2025 23:23:00,1.42
19/06/2025 23:24:00,1.42
19/06/2025 23:25:00,1.42
19/06/2025 23:27:00,1.42
19/06/2025 23:30:00,1.42
19/06/2025 23:31:00,1.42
19/06/2025 23:32:00,1.42
19/06/2025 23:34:00,1.42
19/06/2025 23:37:00,1.42
19/06/2025 23:39:00,1.42
19/06/2025 23:42:00,1.42
19/06/2025 23:44:00,1.42
19/06/2025 23:45:00,1.42
19/06/2025 23:46:00,1.42
19/06/2025 23:49:00,1.42
19/06/2025 23:50:00,1.42
19/06/2025 23:51:00,1.42
19/06/2025 23:52:00,1.42
19/06/2025 23:53:00,1.42
19/06/2025 23:55:00,1.42
19/06/2025 23:58:00,1.42
