datetime, rank
09/07/2025 00:00:00,0.00
09/07/2025 00:01:00,0.11
09/07/2025 00:12:00,0.20
09/07/2025 00:23:00,0.25
09/07/2025 00:45:00,0.30
09/07/2025 00:46:00,0.30
09/07/2025 01:01:00,0.58
09/07/2025 01:05:00,0.58
09/07/2025 01:10:00,0.58
09/07/2025 01:11:00,1.02
09/07/2025 01:17:00,1.02
09/07/2025 01:21:00,1.02
09/07/2025 01:22:00,1.02
09/07/2025 01:23:00,1.02
09/07/2025 01:28:00,1.14
09/07/2025 01:29:00,1.39
09/07/2025 01:31:00,1.69
09/07/2025 01:33:00,1.79
09/07/2025 01:35:00,1.79
09/07/2025 01:39:00,1.79
09/07/2025 01:45:00,1.97
09/07/2025 01:48:00,1.97
09/07/2025 01:53:00,2.00
09/07/2025 01:54:00,2.33
09/07/2025 02:02:00,2.33
09/07/2025 02:33:00,2.33
09/07/2025 03:01:00,2.33
09/07/2025 03:17:00,2.33
09/07/2025 03:56:00,2.33
09/07/2025 03:57:00,2.33
09/07/2025 03:58:00,2.33
09/07/2025 04:19:00,2.33
09/07/2025 04:22:00,2.33
09/07/2025 04:28:00,2.69
09/07/2025 04:48:00,3.31
09/07/2025 04:49:00,3.67
09/07/2025 04:53:00,3.67
09/07/2025 04:54:00,3.67
09/07/2025 05:01:00,3.67
09/07/2025 05:08:00,3.67
09/07/2025 05:18:00,3.67
09/07/2025 05:46:00,3.67
09/07/2025 06:04:00,3.67
09/07/2025 06:17:00,3.67
09/07/2025 06:23:00,3.67
09/07/2025 06:43:00,3.67
09/07/2025 06:52:00,3.67
09/07/2025 06:54:00,3.67
09/07/2025 06:59:00,3.67
09/07/2025 07:00:00,3.67
09/07/2025 07:02:00,3.67
09/07/2025 07:04:00,3.67
09/07/2025 07:06:00,3.67
09/07/2025 07:12:00,3.67
09/07/2025 07:20:00,3.67
09/07/2025 07:21:00,3.67
09/07/2025 07:23:00,3.67
09/07/2025 07:26:00,3.67
09/07/2025 07:28:00,3.67
09/07/2025 07:31:00,3.67
09/07/2025 07:33:00,3.67
09/07/2025 07:38:00,3.67
09/07/2025 07:39:00,3.67
09/07/2025 07:40:00,3.67
09/07/2025 07:41:00,3.67
09/07/2025 07:42:00,3.67
09/07/2025 07:43:00,3.67
09/07/2025 07:48:00,3.67
09/07/2025 07:52:00,3.67
09/07/2025 07:53:00,3.67
09/07/2025 07:54:00,3.67
09/07/2025 07:55:00,3.67
09/07/2025 07:56:00,3.67
09/07/2025 07:57:00,3.67
09/07/2025 07:58:00,3.67
09/07/2025 08:01:00,3.81
09/07/2025 08:02:00,4.00
09/07/2025 08:03:00,4.00
09/07/2025 08:04:00,4.00
09/07/2025 08:06:00,4.00
09/07/2025 08:10:00,4.00
09/07/2025 08:11:00,4.00
09/07/2025 08:12:00,4.00
09/07/2025 08:13:00,4.00
09/07/2025 08:16:00,4.00
09/07/2025 08:17:00,4.00
09/07/2025 08:20:00,4.00
09/07/2025 08:22:00,4.00
09/07/2025 08:25:00,4.00
09/07/2025 08:26:00,4.00
09/07/2025 08:27:00,4.00
09/07/2025 08:31:00,4.00
09/07/2025 08:32:00,4.00
09/07/2025 08:34:00,4.00
09/07/2025 08:35:00,4.00
09/07/2025 08:37:00,4.00
09/07/2025 08:38:00,4.00
09/07/2025 08:41:00,4.89
09/07/2025 08:42:00,5.21
09/07/2025 08:44:00,5.21
09/07/2025 08:45:00,5.59
09/07/2025 08:46:00,6.04
09/07/2025 08:47:00,6.04
09/07/2025 08:49:00,6.04
09/07/2025 08:51:00,6.04
09/07/2025 08:52:00,6.04
09/07/2025 08:54:00,6.04
09/07/2025 08:56:00,6.04
09/07/2025 08:57:00,6.04
09/07/2025 09:00:00,8.23
09/07/2025 09:01:00,9.28
09/07/2025 09:02:00,9.28
09/07/2025 09:03:00,9.57
09/07/2025 09:04:00,9.57
09/07/2025 09:05:00,9.57
09/07/2025 09:06:00,9.57
09/07/2025 09:07:00,9.57
09/07/2025 09:08:00,9.57
09/07/2025 09:12:00,9.64
09/07/2025 09:13:00,9.64
09/07/2025 09:14:00,9.64
09/07/2025 09:16:00,9.64
09/07/2025 09:17:00,9.64
09/07/2025 09:18:00,10.78
09/07/2025 09:19:00,10.78
09/07/2025 09:20:00,10.78
09/07/2025 09:22:00,10.78
09/07/2025 09:23:00,10.78
09/07/2025 09:24:00,10.78
09/07/2025 09:25:00,10.78
09/07/2025 09:26:00,10.78
09/07/2025 09:27:00,10.78
09/07/2025 09:28:00,10.78
09/07/2025 09:29:00,10.78
09/07/2025 09:30:00,10.78
09/07/2025 09:31:00,10.78
09/07/2025 09:32:00,10.78
09/07/2025 09:33:00,11.18
09/07/2025 09:35:00,11.42
09/07/2025 09:36:00,13.66
09/07/2025 09:37:00,13.66
09/07/2025 09:39:00,13.66
09/07/2025 09:41:00,15.88
09/07/2025 09:42:00,15.88
09/07/2025 09:43:00,15.88
09/07/2025 09:44:00,15.88
09/07/2025 09:45:00,15.88
09/07/2025 09:46:00,15.88
09/07/2025 09:47:00,15.88
09/07/2025 09:48:00,15.88
09/07/2025 09:50:00,15.88
09/07/2025 09:51:00,15.88
09/07/2025 09:52:00,15.88
09/07/2025 09:53:00,15.88
09/07/2025 09:54:00,15.88
09/07/2025 09:55:00,15.88
09/07/2025 09:56:00,15.88
09/07/2025 09:57:00,15.88
09/07/2025 09:59:00,15.88
09/07/2025 10:00:00,15.88
09/07/2025 10:01:00,15.88
09/07/2025 10:02:00,15.88
09/07/2025 10:03:00,15.88
09/07/2025 10:06:00,15.88
09/07/2025 10:07:00,15.88
09/07/2025 10:12:00,15.88
09/07/2025 10:13:00,15.88
09/07/2025 10:14:00,15.88
09/07/2025 10:15:00,15.88
09/07/2025 10:16:00,15.88
09/07/2025 10:17:00,15.88
09/07/2025 10:19:00,15.88
09/07/2025 10:22:00,15.88
09/07/2025 10:24:00,15.88
09/07/2025 10:26:00,15.88
09/07/2025 10:32:00,15.88
09/07/2025 10:34:00,15.88
09/07/2025 10:35:00,15.88
09/07/2025 10:37:00,15.88
09/07/2025 10:38:00,15.88
09/07/2025 10:40:00,15.88
09/07/2025 10:41:00,15.88
09/07/2025 10:42:00,15.88
09/07/2025 10:43:00,15.88
09/07/2025 10:46:00,15.88
09/07/2025 10:47:00,15.88
09/07/2025 10:48:00,15.88
09/07/2025 10:50:00,15.88
09/07/2025 10:52:00,15.88
09/07/2025 10:54:00,15.88
09/07/2025 10:55:00,15.88
09/07/2025 10:56:00,15.88
09/07/2025 10:57:00,15.88
09/07/2025 10:58:00,15.88
09/07/2025 10:59:00,15.88
09/07/2025 11:00:00,15.88
09/07/2025 11:01:00,15.88
09/07/2025 11:02:00,15.88
09/07/2025 11:03:00,15.88
09/07/2025 11:04:00,15.88
09/07/2025 11:05:00,15.88
09/07/2025 11:06:00,15.88
09/07/2025 11:08:00,15.88
09/07/2025 11:09:00,15.88
09/07/2025 11:10:00,15.88
09/07/2025 11:11:00,15.88
09/07/2025 11:12:00,15.88
