date, time, average_range
27/04/2025,23:00,36.93
27/04/2025,23:30,23.82
28/04/2025,00:00,26.52
28/04/2025,00:30,20.76
28/04/2025,01:00,23.93
28/04/2025,01:30,21.5
28/04/2025,02:00,35.93
28/04/2025,02:30,37.76
28/04/2025,03:00,34.21
28/04/2025,03:30,27.03
28/04/2025,04:00,20.07
28/04/2025,04:30,16.0
28/04/2025,05:00,14.15
28/04/2025,05:30,15.48
28/04/2025,06:00,14.46
28/04/2025,06:30,22.28
28/04/2025,07:00,20.93
28/04/2025,07:30,19.75
28/04/2025,08:00,22.68
28/04/2025,08:30,21.41
28/04/2025,09:00,13.79
28/04/2025,09:30,14.11
28/04/2025,10:00,16.07
28/04/2025,10:30,16.52
28/04/2025,11:00,17.0
28/04/2025,11:30,16.63
28/04/2025,12:00,19.74
28/04/2025,12:30,17.11
28/04/2025,13:00,20.54
28/04/2025,13:30,19.45
28/04/2025,14:00,22.21
28/04/2025,14:30,28.21
28/04/2025,15:00,26.62
