date, time, average_range
25/03/2025,22:00,3.95
25/03/2025,22:30,3.36
25/03/2025,23:00,2.53
25/03/2025,23:30,3.1
26/03/2025,00:00,3.42
26/03/2025,00:30,4.92
26/03/2025,01:00,7.21
26/03/2025,01:30,6.25
26/03/2025,02:00,6.07
26/03/2025,02:30,5.81
26/03/2025,03:00,5.0
26/03/2025,03:30,5.04
26/03/2025,04:00,4.0
26/03/2025,04:30,3.68
26/03/2025,05:00,5.08
26/03/2025,05:30,6.86
26/03/2025,06:00,6.79
26/03/2025,06:30,4.93
26/03/2025,07:00,6.14
26/03/2025,07:30,5.9
26/03/2025,08:00,6.83
26/03/2025,08:30,5.39
26/03/2025,09:00,5.62
26/03/2025,09:30,8.07
26/03/2025,10:00,7.21
26/03/2025,10:30,6.93
26/03/2025,11:00,6.34
26/03/2025,11:30,7.69
26/03/2025,12:00,7.59
26/03/2025,12:30,9.38
26/03/2025,13:00,10.72
26/03/2025,13:30,13.34
26/03/2025,14:00,12.03
26/03/2025,14:30,9.17
26/03/2025,15:00,11.97
26/03/2025,15:30,7.34
26/03/2025,16:00,7.52
26/03/2025,16:30,5.9
26/03/2025,17:00,5.21
26/03/2025,17:30,5.86
26/03/2025,18:00,4.93
26/03/2025,18:30,4.69
26/03/2025,19:00,4.86
26/03/2025,19:30,4.85
26/03/2025,20:00,3.88
26/03/2025,20:30,5.6
26/03/2025,22:00,6.63
26/03/2025,22:30,4.21
26/03/2025,23:00,5.41
26/03/2025,23:30,3.89
27/03/2025,00:00,5.62
27/03/2025,00:30,4.36
27/03/2025,01:00,7.25
27/03/2025,01:30,6.9
27/03/2025,02:00,5.68
27/03/2025,02:30,7.83
27/03/2025,03:00,5.55
27/03/2025,03:30,4.79
27/03/2025,04:00,5.97
27/03/2025,04:30,7.62
27/03/2025,05:00,6.14
27/03/2025,05:30,8.21
27/03/2025,06:00,8.79
27/03/2025,06:30,6.38
27/03/2025,07:00,8.07
27/03/2025,07:30,7.97
27/03/2025,08:00,8.79
27/03/2025,08:30,6.52
27/03/2025,09:00,7.21
27/03/2025,09:30,7.69
27/03/2025,10:00,14.14
27/03/2025,10:30,12.79
27/03/2025,11:00,11.66
27/03/2025,11:30,8.83
27/03/2025,12:00,10.83
27/03/2025,12:30,13.86
27/03/2025,13:00,18.21
27/03/2025,13:30,19.34
27/03/2025,14:00,14.76
27/03/2025,14:30,17.14
27/03/2025,15:00,12.93
27/03/2025,15:30,12.21
27/03/2025,16:00,10.62
27/03/2025,16:30,9.93
27/03/2025,17:00,8.38
27/03/2025,17:30,7.83
27/03/2025,18:00,5.55
27/03/2025,18:30,5.14
27/03/2025,19:00,4.07
27/03/2025,19:30,3.72
27/03/2025,20:00,4.07
27/03/2025,20:30,2.92
27/03/2025,22:00,4.81
27/03/2025,22:30,5.39
27/03/2025,23:00,3.46
27/03/2025,23:30,3.74
28/03/2025,00:00,8.17
28/03/2025,00:30,5.55
28/03/2025,01:00,9.52
28/03/2025,01:30,11.24
28/03/2025,02:00,10.14
28/03/2025,02:30,9.17
28/03/2025,03:00,7.03
28/03/2025,03:30,7.79
28/03/2025,04:00,4.89
28/03/2025,04:30,4.86
28/03/2025,05:00,5.19
28/03/2025,05:30,9.79
28/03/2025,06:00,9.76
28/03/2025,06:30,8.86
28/03/2025,07:00,9.62
28/03/2025,07:30,9.69
28/03/2025,08:00,13.14
28/03/2025,08:30,9.34
28/03/2025,09:00,8.07
28/03/2025,09:30,9.14
28/03/2025,10:00,10.17
28/03/2025,10:30,6.59
28/03/2025,11:00,8.72
