date, time, average_range
04/05/2025,23:00,16.64
04/05/2025,23:30,12.93
05/05/2025,00:00,12.42
05/05/2025,00:30,15.69
05/05/2025,01:00,13.55
05/05/2025,01:30,13.04
05/05/2025,02:00,20.34
05/05/2025,02:30,19.36
05/05/2025,03:00,19.28
05/05/2025,03:30,13.48
05/05/2025,04:00,19.93
05/05/2025,04:30,15.17
05/05/2025,05:00,13.52
05/05/2025,05:30,12.44
05/05/2025,06:00,11.41
05/05/2025,06:30,14.59
05/05/2025,07:00,14.48
05/05/2025,07:30,14.07
05/05/2025,08:00,14.86
05/05/2025,08:30,15.19
05/05/2025,09:00,14.66
05/05/2025,09:30,16.97
05/05/2025,10:00,23.14
05/05/2025,10:30,19.9
05/05/2025,11:00,20.41
05/05/2025,11:30,16.66
05/05/2025,12:00,16.52
05/05/2025,12:30,14.86
05/05/2025,13:00,20.03
05/05/2025,13:30,17.31
05/05/2025,14:00,16.52
05/05/2025,14:30,20.48
05/05/2025,15:00,33.24
05/05/2025,15:30,19.83
05/05/2025,16:00,21.21
05/05/2025,16:30,16.97
05/05/2025,17:00,15.76
05/05/2025,17:30,14.38
05/05/2025,18:00,13.83
05/05/2025,18:30,13.37
05/05/2025,19:00,12.03
05/05/2025,19:30,10.86
05/05/2025,20:00,14.62
05/05/2025,20:30,16.07
05/05/2025,21:00,12.29
05/05/2025,21:30,10.84
05/05/2025,23:00,17.92
05/05/2025,23:30,13.19
06/05/2025,00:00,15.78
06/05/2025,00:30,11.29
06/05/2025,01:00,16.45
06/05/2025,01:30,17.31
06/05/2025,02:00,41.24
06/05/2025,02:30,32.0
06/05/2025,03:00,25.1
06/05/2025,03:30,32.72
06/05/2025,04:00,30.14
06/05/2025,04:30,17.83
06/05/2025,05:00,14.45
06/05/2025,05:30,19.28
06/05/2025,06:00,15.71
06/05/2025,06:30,22.59
06/05/2025,07:00,20.72
06/05/2025,07:30,14.79
06/05/2025,08:00,18.28
06/05/2025,08:30,21.34
06/05/2025,09:00,23.97
06/05/2025,09:30,14.24
06/05/2025,10:00,15.59
06/05/2025,10:30,14.89
06/05/2025,11:00,15.66
06/05/2025,11:30,13.25
06/05/2025,12:00,14.07
06/05/2025,12:30,17.0
06/05/2025,13:00,19.59
06/05/2025,13:30,21.89
06/05/2025,14:00,20.86
06/05/2025,14:30,27.34
06/05/2025,15:00,24.41
06/05/2025,15:30,24.72
06/05/2025,16:00,16.52
06/05/2025,16:30,15.38
06/05/2025,17:00,17.0
06/05/2025,17:30,18.1
06/05/2025,18:00,16.28
06/05/2025,18:30,15.66
06/05/2025,19:00,13.28
06/05/2025,19:30,11.0
06/05/2025,20:00,12.11
06/05/2025,20:30,10.55
06/05/2025,21:00,12.07
06/05/2025,21:30,18.1
06/05/2025,23:00,67.66
06/05/2025,23:30,50.62
07/05/2025,00:00,37.62
07/05/2025,00:30,23.07
07/05/2025,01:00,33.52
07/05/2025,01:30,45.24
07/05/2025,02:00,44.24
07/05/2025,02:30,28.86
07/05/2025,03:00,26.72
07/05/2025,03:30,19.62
07/05/2025,04:00,19.62
07/05/2025,04:30,20.17
07/05/2025,05:00,16.21
07/05/2025,05:30,15.36
07/05/2025,06:00,15.54
07/05/2025,06:30,19.14
07/05/2025,07:00,18.76
07/05/2025,07:30,18.5
07/05/2025,08:00,18.1
07/05/2025,08:30,16.52
07/05/2025,09:00,17.44
07/05/2025,09:30,19.0
07/05/2025,10:00,19.14
07/05/2025,10:30,15.82
07/05/2025,11:00,23.45
07/05/2025,11:30,18.59
07/05/2025,12:00,16.54
07/05/2025,12:30,15.24
07/05/2025,13:00,19.07
07/05/2025,13:30,18.72
07/05/2025,14:00,22.9
07/05/2025,14:30,25.34
07/05/2025,15:00,26.97
07/05/2025,15:30,22.83
07/05/2025,16:00,20.34
07/05/2025,16:30,14.9
07/05/2025,17:00,15.11
07/05/2025,17:30,11.66
07/05/2025,18:00,12.93
07/05/2025,18:30,17.0
07/05/2025,19:00,34.52
07/05/2025,19:30,33.41
07/05/2025,20:00,32.97
07/05/2025,20:30,28.9
07/05/2025,21:00,15.72
07/05/2025,21:30,12.11
07/05/2025,23:00,18.0
07/05/2025,23:30,12.36
08/05/2025,00:00,8.77
08/05/2025,00:30,11.84
08/05/2025,01:00,15.17
08/05/2025,01:30,17.38
08/05/2025,02:00,30.41
08/05/2025,02:30,25.62
08/05/2025,03:00,25.31
08/05/2025,03:30,17.17
08/05/2025,04:00,21.14
08/05/2025,04:30,14.9
08/05/2025,05:00,19.04
08/05/2025,05:30,15.9
08/05/2025,06:00,21.62
08/05/2025,06:30,29.41
08/05/2025,07:00,44.03
08/05/2025,07:30,35.9
08/05/2025,08:00,27.69
08/05/2025,08:30,24.59
08/05/2025,09:00,17.03
08/05/2025,09:30,15.31
08/05/2025,10:00,16.97
