date, time, average_range
31/03/2025,23:00,4.97
31/03/2025,23:30,3.17
01/04/2025,00:00,5.07
01/04/2025,00:30,6.55
01/04/2025,01:00,8.31
01/04/2025,01:30,6.48
01/04/2025,02:00,18.97
01/04/2025,02:30,13.69
01/04/2025,03:00,11.76
01/04/2025,03:30,10.1
01/04/2025,04:00,8.62
01/04/2025,04:30,6.66
01/04/2025,05:00,7.45
01/04/2025,05:30,5.21
01/04/2025,06:00,9.14
01/04/2025,06:30,16.28
01/04/2025,07:00,19.17
01/04/2025,07:30,12.72
01/04/2025,08:00,14.45
01/04/2025,08:30,13.79
01/04/2025,09:00,11.55
01/04/2025,09:30,8.59
01/04/2025,10:00,8.79
01/04/2025,10:30,7.83
01/04/2025,11:00,11.21
01/04/2025,11:30,11.48
01/04/2025,12:00,12.21
01/04/2025,12:30,9.52
01/04/2025,13:00,12.31
01/04/2025,13:30,9.41
01/04/2025,14:00,16.52
01/04/2025,14:30,17.24
01/04/2025,15:00,22.76
01/04/2025,15:30,17.03
01/04/2025,16:00,14.07
01/04/2025,16:30,18.41
01/04/2025,17:00,24.52
01/04/2025,17:30,14.66
01/04/2025,18:00,12.07
01/04/2025,18:30,6.41
01/04/2025,19:00,9.14
01/04/2025,19:30,6.03
01/04/2025,20:00,5.76
01/04/2025,20:30,5.14
01/04/2025,21:00,3.34
01/04/2025,21:30,6.83
01/04/2025,23:00,10.0
01/04/2025,23:30,5.41
02/04/2025,00:00,4.45
02/04/2025,00:30,6.48
02/04/2025,01:00,9.93
02/04/2025,01:30,7.55
02/04/2025,02:00,14.69
02/04/2025,02:30,10.86
02/04/2025,03:00,8.72
02/04/2025,03:30,7.34
02/04/2025,04:00,7.62
02/04/2025,04:30,7.69
02/04/2025,05:00,5.86
02/04/2025,05:30,9.66
02/04/2025,06:00,10.62
02/04/2025,06:30,17.1
02/04/2025,07:00,11.03
02/04/2025,07:30,8.17
02/04/2025,08:00,11.41
02/04/2025,08:30,8.72
02/04/2025,09:00,11.72
02/04/2025,09:30,14.0
02/04/2025,10:00,10.76
02/04/2025,10:30,8.97
02/04/2025,11:00,7.59
02/04/2025,11:30,17.52
02/04/2025,12:00,12.72
02/04/2025,12:30,10.14
02/04/2025,13:00,12.48
02/04/2025,13:30,12.1
02/04/2025,14:00,15.83
02/04/2025,14:30,24.45
02/04/2025,15:00,17.34
02/04/2025,15:30,12.55
02/04/2025,16:00,13.62
02/04/2025,16:30,10.97
02/04/2025,17:00,10.97
02/04/2025,17:30,13.34
02/04/2025,18:00,11.17
02/04/2025,18:30,9.83
02/04/2025,19:00,9.66
02/04/2025,19:30,7.97
02/04/2025,20:00,7.97
02/04/2025,20:30,6.76
02/04/2025,21:00,57.14
02/04/2025,21:30,53.83
02/04/2025,23:00,71.52
02/04/2025,23:30,25.34
03/04/2025,00:00,23.79
03/04/2025,00:30,18.9
03/04/2025,01:00,31.28
03/04/2025,01:30,22.34
03/04/2025,02:00,27.69
03/04/2025,02:30,21.59
03/04/2025,03:00,13.76
03/04/2025,03:30,19.0
03/04/2025,04:00,16.69
03/04/2025,04:30,11.1
03/04/2025,05:00,8.31
03/04/2025,05:30,11.72
03/04/2025,06:00,16.59
03/04/2025,06:30,22.38
03/04/2025,07:00,17.07
03/04/2025,07:30,22.86
03/04/2025,08:00,20.24
03/04/2025,08:30,15.03
03/04/2025,09:00,14.76
03/04/2025,09:30,12.38
03/04/2025,10:00,14.55
03/04/2025,10:30,14.52
03/04/2025,11:00,28.76
03/04/2025,11:30,27.76
03/04/2025,12:00,27.66
