datetime, lowest_spread, highest_spread
datetime, lowest_spread, highest_spread
02/05/2025 21:59:50,7,7
04/05/2025 23:00:13,10,0
04/05/2025 23:00:19,5,2
04/05/2025 23:00:33,5,2
04/05/2025 23:00:52,4,2
04/05/2025 23:01:05,4,3
04/05/2025 23:01:07,5,4
04/05/2025 23:01:14,5,3
04/05/2025 23:01:16,5,2
04/05/2025 23:01:19,4,3
04/05/2025 23:01:27,5,3
04/05/2025 23:01:32,4,2
04/05/2025 23:01:44,5,3
04/05/2025 23:01:45,4,3
04/05/2025 23:02:16,5,2
04/05/2025 23:02:34,5,3
04/05/2025 23:02:56,5,2
04/05/2025 23:02:58,4,4
04/05/2025 23:03:08,5,2
04/05/2025 23:04:01,6,3
04/05/2025 23:04:05,5,3
04/05/2025 23:04:30,5,2
04/05/2025 23:04:39,5,5
04/05/2025 23:05:06,6,4
04/05/2025 23:05:37,7,2
04/05/2025 23:05:48,6,3
04/05/2025 23:06:01,6,4
04/05/2025 23:06:13,6,4
04/05/2025 23:06:35,6,4
04/05/2025 23:08:48,5,3
04/05/2025 23:10:00,4,3
04/05/2025 23:10:20,4,1
04/05/2025 23:10:30,4,3
04/05/2025 23:11:52,4,2
04/05/2025 23:12:05,4,2
04/05/2025 23:13:39,4,2
04/05/2025 23:17:07,4,1
04/05/2025 23:22:02,3,1
04/05/2025 23:29:02,4,1
04/05/2025 23:30:04,3,1
04/05/2025 23:30:32,3,2
04/05/2025 23:31:53,3,1
04/05/2025 23:35:41,3,1
04/05/2025 23:37:22,3,2
04/05/2025 23:40:01,3,2
04/05/2025 23:41:30,4,1
04/05/2025 23:42:29,3,2
04/05/2025 23:43:40,4,2
04/05/2025 23:44:00,3,2
04/05/2025 23:45:16,3,1
04/05/2025 23:46:49,3,1
04/05/2025 23:48:16,4,2
04/05/2025 23:49:36,4,2
04/05/2025 23:50:37,3,1
04/05/2025 23:54:53,3,1
04/05/2025 23:59:27,3,1
05/05/2025 00:00:52,3,1
05/05/2025 00:04:05,3,2
05/05/2025 00:06:11,3,1
05/05/2025 00:06:51,3,2
05/05/2025 00:07:17,4,2
05/05/2025 00:07:45,3,2
05/05/2025 00:11:38,4,2
05/05/2025 00:13:13,4,2
05/05/2025 00:18:41,3,2
05/05/2025 00:21:23,3,1
05/05/2025 00:24:37,3,2
05/05/2025 00:25:45,3,2
05/05/2025 00:28:58,3,1
05/05/2025 00:32:17,3,1
05/05/2025 00:32:20,3,2
05/05/2025 00:34:25,4,1
05/05/2025 00:35:10,3,1
05/05/2025 00:35:55,3,1
05/05/2025 00:36:10,3,1
05/05/2025 00:36:32,3,1
05/05/2025 00:37:28,3,1
05/05/2025 00:43:01,3,2
05/05/2025 00:44:55,4,1
05/05/2025 00:44:55,2,2
05/05/2025 00:45:09,4,1
05/05/2025 00:45:58,3,1
05/05/2025 00:48:58,3,1
05/05/2025 00:51:42,4,2
05/05/2025 00:52:13,4,1
05/05/2025 00:52:59,4,2
05/05/2025 00:53:10,3,2
05/05/2025 00:54:58,4,1
05/05/2025 00:56:25,4,1
05/05/2025 00:56:48,4,2
05/05/2025 00:57:25,4,2
05/05/2025 00:57:27,3,2
05/05/2025 00:57:43,3,2
05/05/2025 01:00:03,4,1
05/05/2025 01:00:20,4,2
05/05/2025 01:00:59,4,1
05/05/2025 01:02:34,4,1
05/05/2025 01:03:00,3,2
05/05/2025 01:03:52,4,2
05/05/2025 01:04:52,3,2
05/05/2025 01:06:03,4,1
05/05/2025 01:06:26,3,2
05/05/2025 01:08:39,4,2
05/05/2025 01:10:19,3,1
05/05/2025 01:13:22,4,2
05/05/2025 01:17:23,4,2
05/05/2025 01:18:01,3,2
05/05/2025 01:22:43,3,1
05/05/2025 01:32:14,3,1
05/05/2025 01:35:19,4,1
05/05/2025 01:35:43,3,2
05/05/2025 01:36:02,3,2
05/05/2025 01:36:15,3,1
05/05/2025 01:41:07,3,1
05/05/2025 01:42:44,3,1
05/05/2025 01:43:16,3,2
05/05/2025 01:44:40,4,2
05/05/2025 01:45:27,4,2
05/05/2025 01:46:09,3,2
05/05/2025 01:46:33,4,2
05/05/2025 01:46:57,4,2
05/05/2025 01:48:12,4,1
05/05/2025 01:59:49,4,1
05/05/2025 02:00:39,3,1
05/05/2025 02:02:07,3,1
05/05/2025 02:02:47,3,1
05/05/2025 02:02:48,3,2
05/05/2025 02:03:28,4,2
