datetime, lowest_spread, highest_spread
09/05/2025 06:02:03,2,2
09/05/2025 06:02:08,2,2
09/05/2025 06:02:29,4,2
09/05/2025 06:02:30,4,2
09/05/2025 06:02:30,2,2
09/05/2025 06:02:30,2,2
09/05/2025 06:02:30,2,2
09/05/2025 06:02:30,3,3
09/05/2025 06:02:30,3,3
09/05/2025 06:02:30,3,3
09/05/2025 06:02:30,3,3
09/05/2025 06:02:30,3,3
09/05/2025 06:02:30,3,3
09/05/2025 06:02:31,3,2
09/05/2025 06:02:32,3,2
09/05/2025 06:02:34,3,3
09/05/2025 06:02:34,3,3
09/05/2025 06:02:35,3,2
09/05/2025 06:02:39,3,2
09/05/2025 06:02:40,3,3
